Frame,Light_Context,Obstacle_Context,Carla_Agent_Action,LLM_Action,Match,LLM_Low-Level_Control,LLM_Thought
1,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
2,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.001, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
3,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.001, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
4,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.001, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
5,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.001, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
6,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
7,None,vehicle,Strong Acceleration,Strong Acceleration,True,"Throttle: 0.75, Steer: -0.001, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
8,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.352, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
9,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.471, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
10,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.477, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
11,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.442, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
12,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.471, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
13,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
14,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
15,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.454, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
16,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
17,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
18,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
19,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
20,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
21,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
22,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
23,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.0, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
24,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.006, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
25,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.01, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
26,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.015, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
27,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.017, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
28,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.017, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
29,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.016, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
30,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.016, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
31,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.013, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
32,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.015, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
33,None,vehicle,Light Acceleration,Light Acceleration,True,"Throttle: 0.455, Steer: -0.016, Brake: 0.0","There is a vehicle in my path, requiring me to brake or yield."
