Frame,Light_Context,Obstacle_Context,Carla_Agent_Action,LLM_Action,Match,LLM_Low-Level_Control,LLM_Thought
1,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.0, Steer: -5.0 (to adjust for the approaching vehicle), Brake: 0.0","I am currently stopped and facing west with a clear path ahead, but there is an approaching vehicle in my path. To maintain safety, I need to yield or slow down to avoid a potential collision."
2,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.5, Steer: -0.0, Brake: 0.0","I am currently stopped with a speed of 0.0 km/h and facing west, but there's an obstacle in my path that requires me to yield or brake. The GPS Route Instruction is to drive straight, which means I need to proceed cautiously."
3,None,vehicle,Strong Acceleration,Maintain Current State / Yield,False,"Throttle: 0.0, Steer: 0.0, Brake: 0.5","I am currently stopped with a speed of 0.0 km/h heading west, and there are no traffic lights in sight. However, a vehicle is approaching from the front, requiring me to yield or brake safely."
4,None,vehicle,Strong Acceleration,Reduce Speed,False,"Throttle: 0.5, Steer: 0.0, Brake: 0.0","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but reduce speed to ensure safe distance from the other vehicle."
5,None,vehicle,Strong Acceleration,Reduce Speed,False,"Throttle: 0.5, Steer: 0.0, Brake: 0.0","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current heading but reduce speed to ensure safe distance from the other vehicle."
6,None,vehicle,Strong Acceleration,Gradual Speed Reduction,False,"Throttle: 0.5, Steer: 0.0, Brake: 0.0","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
7,None,vehicle,Strong Acceleration,Gradual Speed Reduction,False,"Throttle: 0.5, Steer: -0.0, Brake: 0.0","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
8,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.5, Steer: -0.0, Brake: 0.2","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
9,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.0

I will gradually reduce the throttle to slow down and maintain a safe distance from the approaching vehicle, while keeping the steer at 0.0 to avoid any sudden turns.","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
10,None,vehicle,Light Acceleration,Gradual Brake / Speed Reduction,False,"Throttle: 0.2, Steer: -0.0, Brake: 0.5","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but adjust my speed accordingly."
11,None,vehicle,Light Acceleration,Gradual Brake / Speed Reduction,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.5","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but adjust my speed accordingly."
12,None,vehicle,Light Acceleration,Gradual Brake / Speed Reduction,False,"Throttle: 0.2, Steer: -0.0, Brake: 0.5","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but adjust my speed accordingly."
13,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.5","I need to slow down quickly due to the approaching vehicle in my path, but since there are no traffic lights and it's not a critical intersection, I can maintain control without hard braking or stopping. However, I must adjust my speed to ensure safe distance from the other vehicle."
14,None,vehicle,Light Acceleration,Soft Brake,False,"Throttle: 0.2, Steer: -0.1, Brake: 0.5","I need to slow down quickly due to the approaching vehicle in my path, but there's no traffic light to stop for. I'll maintain a safe distance and adjust speed accordingly."
15,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: -0.0, Brake: 0.5","I need to slow down and prepare for potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain a safe distance and adjust my speed accordingly."
16,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.3, Steer: -0.0, Brake: 0.2","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
17,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.3, Steer: 0.0, Brake: 0.0

I will gradually reduce the throttle to slow down and maintain a safe distance from the approaching vehicle, while keeping the steer at 0.0 to avoid any sudden turns.","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
18,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.0","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but adjust my speed accordingly."
19,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.5","I need to slow down and prepare for potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain a safe distance and adjust my speed accordingly."
20,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.5","I need to slow down and prepare for potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain a safe distance and adjust my speed accordingly."
21,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: 0.0, Brake: 0.5","I need to slow down and prepare for potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain a safe distance and adjust my speed accordingly."
22,None,vehicle,Light Acceleration,Gradual Brake / Speed Reduction,False,"Throttle: 0.2, Steer: -0.0, Brake: 0.5","I need to slow down and prepare for a potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain my current direction but adjust my speed accordingly."
23,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: -0.0, Brake: 0.3","I need to slow down and prepare for potential collision with the approaching vehicle. Since there are no traffic lights, I will maintain a safe distance and adjust my speed accordingly."
24,None,vehicle,Light Acceleration,Gradual Speed Reduction,False,"Throttle: 0.3 (reduced throttle to slow down), Steer: -0.005 (no change in steering), Brake: 0.0 (no braking required)","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
25,None,vehicle,Light Acceleration,Gradual Speed Reduction,False,"Throttle: 0.3 (reduced throttle to slow down), Steer: -0.009 (maintain current steering angle), Brake: 0.0 (no braking required)","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
26,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: -0.014, Brake: 0.3","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance."
27,None,vehicle,Light Acceleration,Gradual Speed Reduction,False,"Throttle: 0.3 (reduced throttle to slow down), Steer: -0.018 (no change in steering), Brake: 0.0 (no braking required)","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
28,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.3, Steer: -0.018, Brake: 0.2","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance."
29,None,vehicle,Light Acceleration,Gradual Speed Reduction,False,"Throttle: 0.3 (reduced throttle to slow down), Steer: -0.017 (maintain current steering angle), Brake: 0.0 (no braking required)","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will gradually reduce speed to match the approaching vehicle's speed."
30,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.3, Steer: -0.018, Brake: 0.0

I will gradually reduce the throttle to slow down and maintain a safe distance from the approaching vehicle while still following the GPS Route Instruction to drive straight.","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
31,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.2, Steer: -0.013, Brake: 0.3","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance."
32,None,vehicle,Light Acceleration,Gradual Brake,False,"Throttle: 0.3, Steer: -0.014, Brake: 0.2","I need to slow down and maintain a safe distance from the approaching vehicle. Since there are no traffic lights, I will adjust my speed accordingly."
33,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0

I will gradually reduce the throttle to slow down and maintain a safe distance from the approaching vehicle while still following the GPS Route Instruction to drive straight.","I need to slow down and prepare for the upcoming intersection, but there's a vehicle approaching from the front that requires me to maintain a safe distance.
The GPS Route Instruction is to drive straight, which means I shouldn't make any sudden turns or changes in direction."
34,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading west and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. Since there are no traffic lights visible, I will prioritize maintaining a safe distance."
35,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading west and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. Since there are no traffic lights visible, I will prioritize maintaining a safe distance."
36,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading west and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. Since there are no traffic lights visible, I will prioritize maintaining a safe distance."
37,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading west and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. Since there are no traffic lights visible, I will prioritize maintaining a safe distance."
38,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.1","I am currently on a straight path heading west and need to turn left according to the GPS Route Instruction. However, there is an approaching vehicle in my path that requires me to slow down or yield. Since there are no traffic lights visible, I will prioritize maintaining a safe distance from the approaching vehicle."
39,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I am currently on a straight path heading west and need to turn left according to the GPS Route Instruction. However, there is an approaching vehicle in my path that requires me to slow down or yield. Given the proximity of the other vehicle (12.79 meters away), I should prioritize maintaining a safe distance."
40,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I am currently on a straight path with no traffic lights ahead, but there is an approaching vehicle in my path. To maintain safety and avoid potential collision, I need to slow down or yield to the other vehicle."
41,None,vehicle,Light Acceleration,Ease Off Throttle / Gradual Deceleration,False,"Throttle: 0.3, Steer: -0.015, Brake: 0.0","I am currently on a straight path heading west and need to turn left according to the GPS Route Instruction. However, there is an approaching vehicle in my path that requires me to slow down or yield. Given the short distance to the other vehicle, I will prioritize maintaining a safe distance."
42,None,vehicle,Light Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.1","I am currently on a straight path with no traffic lights ahead, but there is another vehicle approaching from the front at a relatively close distance. To maintain safety and avoid potential collision, I need to slow down and prepare for a possible stop or yield."
43,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I am currently on a straight path heading west and need to turn left according to the GPS Route Instruction. However, there is an approaching vehicle in my path that requires me to slow down or yield. Given the proximity of the other vehicle (10.47 meters away), I should prioritize maintaining a safe distance."
44,None,vehicle,Light Acceleration,Gradual Brake / Yield,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I am currently on a straight path heading west and need to turn left according to the GPS Route Instruction. However, there is an approaching vehicle in my path that requires me to slow down or yield. Given the proximity of the other vehicle (9.94 meters away), I should prioritize maintaining a safe distance."
45,None,vehicle,Light Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.2, Steer: -0.016, Brake: 0.3","I need to slow down and prepare for a potential collision with the approaching vehicle in front of me. The GPS Route Instruction indicates a left turn ahead, but it's not yet time to execute that command as we're still some distance away from the intersection."
46,None,vehicle,Light Acceleration,Adjust Steering / Maintain Safe Distance,False,"Throttle: 0.3 (reduce speed), Steer: -0.02 (adjust turn-in), Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to adjust my speed and steering to maintain safe distance from the approaching vehicle in front of me."
47,None,vehicle,Light Acceleration,Ease Off Throttle / Gradual Brake,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.2","I need to slow down and prepare for a potential collision with the approaching vehicle in front of me. The GPS Route Instruction indicates a left turn ahead, but it's not yet time to execute that command as we're still some distance away from the intersection."
48,None,vehicle,Light Acceleration,Evasive Maneuver / Yield,False,"Throttle: 0.0, Steer: -0.1 (to slow down and move towards the left lane), Brake: 0.5 (to gradually slow down)","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle from the front.
The vehicle is approaching quickly and is only 4.67 meters away, so I must take evasive action to avoid a potential collision."
49,None,vehicle,Light Acceleration,Evasive Maneuver / Yield,False,"Throttle: 0.0, Steer: -0.1 (to slow down and move towards the left lane), Brake: 0.5 (to gradually slow down)","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle from the front.
The vehicle is approaching quickly and is only 6.7 meters away, so I must take evasive action to avoid a potential collision."
50,None,vehicle,Light Acceleration,Gradual Deceleration / Position Adjustment,False,"Throttle: 0.2, Steer: -0.014 (maintaining current steering angle), Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to slow down and prepare for the upcoming intersection. There is another vehicle approaching from the front, requiring me to adjust my speed and position accordingly."
51,None,vehicle,Light Acceleration,Adjust Speed and Steering for Safe Intersection Navigation,False,"Throttle: 0.2 (reduce speed), Steer: -0.03 (adjust steering to prepare for left turn)","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to adjust my speed and steering to safely navigate this intersection. The approaching vehicle from the front is relatively close, so I must slow down to avoid a potential collision."
52,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.02 (start turning left), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
53,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
54,None,vehicle,Light Acceleration,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
55,None,vehicle,Light Acceleration,Gradual Deceleration,False,"Throttle: 0.3, Steer: -0.016, Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
56,None,vehicle,Decelerate,Gradual Deceleration / Yield,False,"Throttle: 0.3, Steer: -0.02, Brake: 0.2","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
57,None,vehicle,Decelerate,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
58,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.5 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.143 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
59,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.015 (continue gentle turn), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
60,None,vehicle,Decelerate,Gradual Brake / Slow Down,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.2","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
61,None,vehicle,Maintain Speed / Coasting,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.015 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
62,None,vehicle,Light Acceleration,Slow Down / Yield,False,"Throttle: 0.01, Steer: -0.015, Brake: 0.2","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
63,None,vehicle,Strong Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.2, Steer: -0.017, Brake: 0.3","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
64,None,vehicle,Strong Acceleration,Gradual Brake / Slow Down,False,"Throttle: 0.5, Steer: -0.014, Brake: 0.2","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
65,None,vehicle,Decelerate,Gradual Deceleration,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.2","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
66,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.015 (continue gentle turn), Brake: 0.3 (prepare for potential stop)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
67,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.02 (start turning left), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
68,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.5, Steer: -0.02, Brake: 0.2","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
69,None,vehicle,Decelerate,Ease Off Throttle / Gradual Brake,False,"Throttle: 0.5, Steer: -0.015, Brake: 0.2","I need to slow down and prepare for a potential collision with the approaching vehicle. The GPS Route Instruction indicates a left turn ahead, but it's not yet time to execute that command. I must prioritize maintaining lane keeping based on immediate road geometry."
70,None,vehicle,Light Acceleration,Yield / Slow Down,False,"Throttle: 0.2 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.3 (maintain gentle braking)","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
71,None,vehicle,Strong Acceleration,Yield / Slow Down,False,"Throttle: 0.1 (reduce speed), Steer: -0.016 (continue turning left), Brake: 0.0","I am currently heading southwest and need to turn left according to the GPS Route Instruction. However, there is a vehicle approaching from the front, requiring me to slow down or yield. The traffic light status is unknown, but it's not an immediate concern."
72,None,vehicle,Strong Acceleration,Slow Down / Yield,False,"Throttle: 0.5, Steer: -0.016, Brake: 0.0","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
73,None,vehicle,Decelerate,Gradual Brake / Slow Down,False,"Throttle: 0.5, Steer: -0.016, Brake: 0.2","I am currently on a trajectory to turn left as per the GPS Route Instruction, but I need to prioritize immediate safety due to an approaching vehicle in my path.
I will slow down to maintain a safe distance from the approaching vehicle and prepare for potential evasive maneuvers."
